visitor_home_cbg,placekey,visit_count
250277323012,222-222@62k-qpr-dqf,6
250277328021,222-222@62k-qpr-qj9,8
250277328011,222-222@62k-qpr-qj9,4
250277304012,222-222@62k-qpv-bp9,10
250277313003,222-222@62k-qpv-bx5,5
250277323011,222-222@62k-qpv-cdv,21
250277323021,222-222@62k-qpy-3wk,18
250277328011,222-222@62k-qpy-rkz,12
250277328021,222-222@62k-qpy-rkz,4
250277307001,222-222@62k-qpy-rkz,4
250277328012,222-222@62k-qpy-rkz,8
250277320011,222-222@62k-qpy-rkz,4
250277323012,222-222@62k-qpy-rkz,4
250277305003,222-222@62k-qpy-wx5,17
250277316004,222-222@62k-qpy-wx5,8
250277327004,222-222@62k-qpy-xh5,15
250277328012,222-222@62k-qpy-xh5,8
250277305003,222-222@62k-qpy-xh5,15
250277322033,222-222@62k-qpy-xh5,8
250277301003,222-222@62k-qpy-xh5,8
250277325001,222-222@62k-qpy-xh5,48
250277328011,222-222@62k-qpy-xh5,10
250277307005,222-222@62k-qy9-y9z,4
250277310011,222-222@62k-qy9-y9z,4
250277304011,222-222@62k-qy9-y9z,4
250277303002,222-222@62k-qy9-y9z,4
250277325001,222-222@62k-qy9-y9z,4
250277331021,222-222@62k-qy9-y9z,4
250277330003,222-222@62k-qy9-zs5,15
250277329021,222-222@62k-qy9-zs5,13
250277306004,222-222@62k-qy9-zs5,8
250277312041,222-222@62k-qy9-zs5,13
250277330001,222-222@62k-qy9-zs5,12
250277326002,222-222@62k-qy9-zs5,13
250277319001,222-222@62k-qy9-zs5,5
250277312031,222-222@62k-qyb-m49,9
250277312032,222-222@62k-qyb-m49,5
250277301002,222-222@62k-qyb-m49,18
250277301004,222-222@62k-qyb-m49,5
250277310023,222-222@62k-qyb-nkf,9
250277329014,222-222@62k-qyb-nkf,5
250277320022,222-222@62k-qyb-nkf,8
250277305003,222-222@62k-qyb-nkf,4
250277323012,222-222@62k-qyb-nkf,4
250277325001,222-222@62k-qyb-nkf,4
250277308021,222-222@62k-qyb-nkf,4
250277330003,222-222@62k-qyb-nkf,8
250277330001,222-222@62k-qyb-nkf,13
250277323021,222-222@62k-qyb-nkf,4
250277317001,222-222@62k-qyb-nkf,4
250277310011,222-222@62k-qyb-nkf,5
250277322033,222-222@62k-qyb-nkf,4
250277304012,222-222@62k-qyb-nkf,4
250277301002,222-222@62k-qyb-nkf,4
250277315005,222-222@62k-qyb-nkf,4
250277303001,222-222@62k-qyb-nkf,4
250277326002,222-222@62k-qyb-nkf,4
250277304011,222-222@62k-qyb-nkf,4
250277312042,222-222@62k-qyb-nkf,4
250277329021,222-222@62k-qyb-nkf,4
250277301004,222-222@62k-qyb-q9f,7
250277330003,222-222@62k-qyb-q9f,7
250277320023,222-222@62k-qyb-q9f,5
250277329012,222-222@62k-qyb-q9f,9
250277330001,222-222@62k-qyb-q9f,9
250277314003,222-222@62k-qyb-rzf,17
250277307002,222-222@62k-qyb-rzf,9
250277329014,222-222@62k-qyb-rzf,9
250277307006,222-222@62k-qyb-rzf,9
250277304022,222-222@62k-qyb-rzf,9
250277327002,222-222@62k-qyb-rzf,13
250277314002,222-222@62k-qyb-rzf,9
250277330001,222-222@62k-qyb-rzf,9
250277318003,222-222@62k-qyb-rzf,18
250277320023,222-222@62k-qyb-rzf,21
250277323021,222-222@62k-qyb-rzf,15
250277312041,222-222@62k-qyb-rzf,6
250277327003,222-222@62k-qyb-rzf,6
250277324006,222-222@62k-qyb-rzf,6
250277303002,222-222@62k-qyb-rzf,9
250277331022,222-222@62k-qyb-rzf,9
250277305002,222-222@62k-qyb-rzf,9
250277311012,222-222@62k-qyb-rzf,9
250277309022,222-222@62k-qyb-rzf,9
250277307003,222-222@62k-qyb-rzf,9
250277310011,222-222@62k-qyb-rzf,19
250277331021,222-222@62k-qyb-rzf,4
250277320011,222-222@62k-qyb-rzf,4
250277312031,222-222@62k-qyb-rzf,4
250277329021,222-222@62k-qyb-rzf,4
250277330002,222-222@62k-qyb-zmk,11
250277301002,222-222@62k-qyb-zmk,20
250277323012,222-222@62k-qyb-zs5,12
250277301002,222-222@62k-qyb-zs5,4
250277327004,222-222@62k-qyb-zs5,4
250277330002,222-222@62k-qyb-zs5,22
250277305002,222-222@62k-qyd-8gk,20
250277329013,222-222@62k-qyd-bkz,4
250277329011,222-222@62k-qyd-bkz,8
250277328021,222-222@62k-qyd-bkz,8
250277325001,222-222@62k-qyd-bkz,4
250277323011,222-222@62k-qyd-bkz,8
250277329015,222-222@62k-qyd-bkz,12
250277331021,222-222@62k-qyd-bkz,12
250277310023,222-222@62k-qyd-bkz,4
250277329012,222-222@62k-qyd-bkz,8
250277313002,222-222@62k-qyd-bkz,4
250277324001,222-222@62k-qyd-bkz,4
250277323012,222-222@62k-qyd-bkz,4
250277330002,222-222@62k-qyd-bkz,12
250277304014,222-222@62k-qyd-bkz,4
250277324003,222-222@62k-qyd-bkz,4
250277327004,222-222@62k-qyd-bkz,4
250277325002,222-222@62k-qyd-bkz,4
250277317001,222-222@62k-qyd-bkz,4
250277324002,222-222@62k-qyd-bkz,4
250277312031,222-222@62k-qyd-bkz,4
250277331021,222-222@62k-qyd-c89,7
250277329012,222-222@62k-qyd-c89,15
250277312031,222-222@62k-qyd-c89,8
250277326005,222-222@62k-qyd-c89,8
250277304011,222-222@62k-qyd-c89,10
250277330001,222-222@62k-qyd-c89,5
250277329013,222-222@62k-qyd-c89,9
250277317001,222-222@62k-qyd-c89,4
250277315005,222-222@62k-qyd-c89,4
250277301004,222-222@62k-qyd-c89,4
250277328011,222-222@62k-qyd-c89,4
250277325001,222-222@62k-qyd-c89,4
250277311011,222-222@62k-qyf-mrk,20
250277331021,222-222@62k-qyf-mrk,11
250277330002,222-222@62k-qyf-mrk,6
250277312041,222-222@62k-qyf-py9,5
250277330001,222-222@62k-qyf-qcq,5
250277328012,222-222@62k-qyf-qcq,5
250277323012,222-222@62k-qyf-qcq,9
250277329014,222-222@62k-qyf-qcq,8
250277331012,222-222@62k-qyf-qcq,8
250277331021,222-222@62k-qyf-qcq,4
250277323011,222-222@62k-qyf-qcq,6
250277314003,222-222@62k-qyf-qcq,4
250277318006,222-222@62k-qyf-qcq,8
250277301003,222-222@62k-qyf-qcq,4
250277317001,222-222@62k-qyf-qcq,7
250277312033,222-222@62k-qyf-qcq,4
250277323012,222-222@62k-qyf-qfz,4
250277306002,222-222@62k-qyf-qmk,8
250277312033,222-222@62k-qyf-qmk,8
250277323012,222-222@62k-qyf-qmk,12
250277331021,222-222@62k-qyf-qmk,19
250277331022,222-222@62k-qyf-qmk,41
250277313002,222-222@62k-qyf-qmk,4
250277302002,222-222@62k-qyf-qmk,4
250277325001,222-222@62k-qyf-qmk,4
250277311014,222-222@62k-qyf-qmk,4
250277307003,222-222@62k-qyg-28v,15
250277331022,222-222@62k-qyg-28v,14
250277331021,222-222@62k-qyg-28v,15
250277310011,222-222@62k-qyg-4n5,33
250277317001,222-222@62k-qyg-4n5,4
250277330003,222-222@62k-qyh-vmk,6
250277330002,222-222@62k-qyh-vmk,6
250277325001,222-222@62k-qyh-vzz,20
250277312031,222-222@62k-qyh-vzz,12
250277325002,222-222@62k-qyh-vzz,54
250277313001,222-222@62k-qyh-xbk,12
250277330002,222-222@62k-qyh-xbk,12
250277301002,222-222@62k-qyh-xbk,12
250277326002,222-222@62k-qyh-xbk,4
250277302006,222-222@62k-qyh-xkf,10
250277312033,222-222@62k-qyh-xt9,8
250277331021,222-222@62k-qyh-xt9,8
250277330003,222-222@62k-qyh-xt9,8
250277322031,222-222@62k-qyh-xt9,8
250277325001,222-222@62k-qyh-xt9,8
250277330001,222-222@62k-qyh-xt9,4
250277301002,222-222@62k-qyh-xt9,4
250277323012,222-222@62k-qyh-xt9,12
250277326001,222-222@62k-qyh-xt9,4
250277309022,222-222@62k-qyh-xt9,4
250277320011,222-222@62k-qyh-xt9,4
250277313002,222-222@62k-qyh-xt9,4
250277319002,222-222@62k-qyh-xt9,4
250277315002,222-222@62k-qyh-xt9,4
250277310023,222-222@62k-qyh-xt9,4
250277312041,222-222@62k-qyh-xyv,10
250277326002,222-222@62k-qyh-xyv,6
250277329015,222-222@62k-qyh-xyv,8
250277313002,222-222@62k-qyh-xyv,8
250277314003,222-222@62k-qyh-xyv,4
250277330002,222-222@62k-qyh-xyv,4
250277325001,222-222@62k-qyh-xyv,4
250277317002,222-222@62k-qyh-y9z,16
250277328011,222-222@62k-qyh-y9z,4
250277314003,222-222@62k-qyh-yvz,35
250277330001,222-222@62k-qyh-yvz,15
250277305002,222-222@62k-qyh-yvz,24
250277330002,222-222@62k-qyh-yvz,16
250277330001,222-222@62k-qyh-yy9,6
250277313003,222-222@62k-qyh-zmk,18
250277323012,222-222@62k-qyh-zmk,13
250277318002,222-222@62k-qyh-zs5,25
250277306005,222-222@62k-qyh-zs5,90
250277311011,222-222@62k-qyh-zs5,25
250277317002,222-222@62k-qyh-zs5,26
250277313003,222-222@62k-qyh-zs5,14
250277331022,222-222@62k-qyj-4vz,12
250277307003,222-222@62k-qyj-59f,5
250277313003,222-222@62k-qyj-59f,12
250277305003,222-222@62k-qyj-59f,8
250277312032,222-222@62k-qyj-59f,4
250277324006,222-222@62k-qyj-59f,4
250277329012,222-222@62k-qyj-59f,4
250277305002,222-222@62k-qyj-5fz,11
